,jobdescription,jobtitle
144,"TAD PGS, INC. is currently seeking a Computer Systems Software Engineer for one of our clients in Arlington, TX. **Candidate must possess an Interim Secret Security Clearance with the ability to obtain a Secret Security Clearance.** Company Description: Go Beyond. It’s more than a phrase. It’s the way our client lives and the way they work, the way they are seen by our customers and our employees. They never compromise on their promise to Go Beyond. It is who they are, for more than a decade they have delivered superior performance. They are known for our ability to combine know-how and technology quickly and effectively to create solutions. Join their team and their proven promise of integrity, accessibility and continuity. They want you to join them and Go Beyond. Job Overview This is a hands on software engineering position. The successful candidate will support integration and configuration of computational system architecture and system software for real-time simulation applications. Primary Responsibilities: Determine functional requirements for computer software and simulation architectureCreate new simulation models using established and new modeling techniquesDesign, develop, code, integrate and test simulation software to meet requirementsAbility to apply sound engineering principles and develop innovative solutionsAbility to independently or work in a team and provide engineering leadership within the team, experience with cost account management a plusApply software engineering principles to complete assigned tasks and meet schedule commitmentsLead and/or participate in design reviewsPrepare, check and coordinate release of support documentation to appropriate program and company standardsCommunicate systems requirements to other personnel and provide technical leadership and support to other functionsProvide technical leadership to some lower grade engineersInitial assignment will be supporting hardware/software integration, networking, and diskless boot activities Required Qualifications: Previous simulation system experience required, training system simulation experience preferredBachelor's Degree in Computer Science, computer Engineering or related discipline, or equivalent9 plus years of Real-Time development experience9 plus years C++, C, Ada, FORTRAN3 plus years Linux environment5 plus years supporting DIS networkingExperience with Diskless Cloud infrastructure, with SAN and NAS systemsExperience using Virtual environments: VMware, software and appliancesCandidate should be a fast learner with very strong analysis and problem-solving skillsAbility to carry tasks through to completion with only general technical directionExperience working in a team environmentGood communications skillsExperience working in a LINUX,UNIX based computer system environment ClearCase, ClearQuest experience a plus. HLA experience a plus Preferred Qualifications: Master's Degree or equivalent experience in an engineering discipline.Proficiency in C/C++ languages required.Ada, FORTRAN, and other programming language experience/knowledge a plus.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.",Computer Systems Software Engineer
145,"TAD PGS INC. is currently seeing an Agile Developer for one of our clients in Springfield, VA. **Candidate must possess an Active Top Secret/SCI Security Clearance.**Job Description:Perform complex analysis, design, development, testing, and debugging of computer software in support of distinct product hardware or technical service lines of businesses. Perform activities ranging from software design, operating architecture integration, and selection of computer systems. Apply knowledge of one or more systems, extensive knowledge of one or more platforms, and of programming languages. Assist with training less experienced software engineer staff.Basic Hiring Criteria:5+ years of experience in a professional software development roleBS degree in CS, Statistics, Mathematics, or EngineeringDesired Qualifications:Experience with multiple operating systems, including UNIX, Linux, and Windows and various intelligence fields’ data and tools, including GEOINT, HUMINT, MASINT, OSlNT, and SIGINTExperience with advanced SQL query writing, data retrieval, and data mining from relational databases, including Oracle, PL/SQL, MySQL, Postgres, and Microsoft SQL Server, such as T-SQLExperience with Extract, Transform, and Load (ETL) processes, including document parsing techniques and managing large data sets, such as multi TB scaleExperience with multi-threaded, Big Data, and distributive Cloud architectures and frameworks, including Hadoop, MapReduce, Cloudera, Hive, Spark, and Elastic Search for Big Data analyticsExperience with developing software in the GIS context, including ESRI Development Environment and Python standards and processingKnowledge of NoSQL databases, including Titan, Mongo, Cassandra, and HBase and one or more of the following programming languages: C#, Java, .NET, Python, Perl, or RubyKnowledge of Web services environments, languages, and formats, including RESTful APIs, HTML, JavaScript, XML, KML, SOAP, and JSON Experience with graphical user interface and data visualization tools and protocols, including HTML 4, CSS, Tableau, and Adobe Creative Suite 5Experience with supporting sensor testing and evaluationExperience with using data transfer and cross domain systems, including NIFIKnowledge of text processing, including Natural Language Processing (NLP), Named Entity Recognition (NER), entity retrieval, such as SOLR or Lucene, topic extraction, summarization, and clusteringKnowledge of machine learning, data mining, and knowledge discoveryKnowledge of container solutions, including Docker and their configuration and implementation best practicesKnowledge of mobile OS and app languages, including HTMLS, Android, iOS, Swift, C Object, and C#Knowledge of model-based data retrieval systems, including JEMAAgile Development, ITIL, or related CertificationsTAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.",Agile Developer
146,"Our client is seeking a Testing Technical Specialist.   Location: Irving, TX Position Type: Contract   Key responsibilities: - BS in Computer Science, or Business related or comparable work experience - 3-5 years of IT Quality Assura nce or Development experience in a fast-paced, time-to-market driven environment preferred - Experience with test automation, test script creation and modification required - Experience with Java 8, Gemfire , HTML5, CSS3, Java Script, and Responsive Web Design - Experience with, or very knowledgeable in, cloud based development leveraging Cloud Foundry in PaaS environment - Good communication, organizational, and interpersonal skills - Excellent analytical, problem solving, negotiating, influencing, facilitation, prioritization, decision-making and conflict resolution skills are required - Knowledgeable and experienced in Agile and Agile-hybrid environment - Familiar with RTC for source control - Working knowledge of Mercury test tools including HP Quality Center - Project management skills is strongly recommended - Strong leadership and ability to mentor junior-level QA members - Provide technical guidance to junior-level QA members",Testing Technical Specialist
147,"TAD PGS, INC. is currently seeking a Manufacturing Engineer II for one of our clients in Clearfield, UT.**This is a National Security Position requiring U.S. Citizenship** ***Candidate must possess an Active DoD Secret Security Clearance and must have the ability to obtain and maintain a Program Clearance.*** Company Description: An aerospace and defense enterprise that focuses on revising defined worker policy, standardizing management processes, improving oversight & tightening financial controls. We have over 25 years of successful collaboration in developing and producing innovative and affordable technologies. Join us today, we are “The Partner You Can Count On”! Job Description: As a Mission Assurance Engineer you will interface with Operations, Engineering, Program Managers, Supply Chain and Procurement on a daily basis writing inspection plans, writing up non-conformances, determining root cause and corrective actions, working with suppliers, and supplier audits. You will part of an Integrated Product/Process Team that is driven to succeed. Required Qualifications: BS in Engineering or science discipline (education will be verified)Minimum of 5 years of directly related quality engineering experience with B.S.Experience in the area of developing inspection plans, reading specification and modeled drawings, root cause analysis, corrective actionsExperience with creating inspection planning /First Article InspectionsWorking knowledge of Geometric Dimensioning and Tolerancing (GD&T)Experience with overseeing MRB activities and dispositioning of nonconforming hardwareAbility to maintain a security clearanceSkilled in working with Microsoft Office applicationsAble to travel 10% of the timeDesired Qualifications:Experience with composites, chemicals, calibration, and lab testingExperience with auditing and source inspectionsFamiliarity with SPC (Statistical Process Control)Experience in either commercial, military, or business aviation/aerospaceExposure to Epic or equivalent system, such as Windchill PDM, Enovia PLM, etc.Functional knowledge of Process Failure Modes and Effects Analysis (PFMEA)Experience with CATIA / Solid Works, Solumina, and various metrology applicationsTAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.",Manufacturing Engineer II
148,"Our client, one of the largest financial services firms, is seeking a Sr. Full Stack Java Developer. Location:  Tampa, FL Position Type: Contract Job Purpose: -Sr. Full Stack Java Developer with strong analytical and technical ability with a minimum of 3 years experience in Core Java, Java EE, JavaScript based front-end web development, MongoDB, Database (DB2/Oracle).  -Able to work independently, excellent communication skills and ability to lead a team across multiple time zones. Job Background/context: -Proven experience in leading a large scale applications in financial industry using various technologies. Key Responsibilities: -Candidate should be hands on and have a strong analytical and technical ability with a minimum of 3 years of experience in Core Java, Java EE and JavaScript based front-end web development, MongoDB, Database (DB2/Oracle).  -An additional 3-4 years involved with complex medium to large projects in a fast paced financial environment is expected. -Strong communication skills are a key.  -The position is based in Dublin and is required to manage day to day delivery work, ensure adherence to process and quality, and identify project/program delivery risks and works on risk mitigation.  -Requires good analytical skills in order to filter, prioritize and validate potentially complex material from multiple sources and applies skills and knowledge of the business to develop creative solutions to meet client and business needs.  -The candidate will be required to work with complex and variable issues with substantial potential impact, weighing various alternatives and balancing potentially conflicting needs. Development Value: -The candidate will work with the state of the art and complex transactional and reporting applications.  -The candidate will work closely with partner systems and also gain in-depth knowledge of the Custody business globally. Knowledge/Experience: -Experience in Core Java, J2EE technologies and UI development -Database experience required. -Self-starter who is a quick learner of new tools and technologies. -Ability to work both independently, with other team members, and across teams -Able to work in a fast-paced environment where priority changes occur often -Able to work in a multi-cultural / multi-time zone environment -Experience with all aspects of the SDLC. Required Skills: -Substantial experience in Core Java, Java EE and JavaScript / CSS / MVC technologies. -Experience in working on multiple technologies and medium to complex systems, well versed with design standards & framework -Quick learner of new tools and technologies. -Able to work with distributed teams across multiple time zones. -Technologies required - Core Java, Java EE, Multithreading/Concurrency, Web Services, RESTful Development , JSP, Servlets, JSON, XML, JavaScript, CSS, Data Modelling, MQ -Backend Websphere, SpringBoot and NodeJS -Tools - Well versed with Eclipse; Test Driven development and automated testing tools like JUnit, Cucumber/ Gherkin; JIRA, Maven, Sonar -Experience with the following advantageous: Angular JS, Bootstrap, Kafka Qualifications: -Bachelors degree in Computer Science or equivalent Competencies: -Able to research and solve complex technical issues in a timely manner -Able to work as a strong team player and individual contributor in a distributed team, with the ability to mentor junior team members where necessary -Strong written and oral communication skills",Sr. Full Stack Java Developer
149,"TAD PGS, INC. is currently seeking a System Engineer for one of our clients in Poway, CA.**Per Government Sector, U.S. Citizenship is required**Ability to obtain a Security Clearance is desired Job Description:Develop functional and detail design specifications for aircraft mechanical systems and components in the fields of propulsion, fuel, oil, landing gear, actuators and ground support equipment.Perform requirements linking.Determine appropriate requirement validation methods.Monitor engineering design phase for compliance with specifications.Conduct analysis in the support of system and component design including fluid, thermal and structural.Develop design assurance procedures to ensure compliance with specifications.Participate in formal design reviews to ensure compliance with specifications.Support requirement validations activities (test data, analysis, and test witnessing).Provide airworthiness guidance to design engineering groupsTypically requires a bachelors degree, masters degree or PhD in engineering or a related technical discipline from an accredited institution and progressive engineering experience as follows; six or more years of experience with a bachelors degree, four or more years of experience with a masters degree, or two or more years with a PhD. May substitute equivalent engineering experience in lieu of education.Must have a complete understanding of engineering concepts, principles, codes, and theory; experience demonstrating a broad application of those concepts; and, expanding knowledge of principles, concepts, theory, and practices in related technical specialties.Must possess the ability to understand new concepts quickly; apply them accurately throughout an evolving environment; organize, schedule, and coordinate work phases; and, determine the appropriate approach at the task level or, with assistance, at the project level to provide solutions to a range of complex problems.Must have excellent communication, computer, documentation, presentation, and interpersonal skills, ability to work independently and as part of a team; able to perform complex tasks in one engineering area; and, lead a team of less experienced professional employees on semi-routine tasks.Able to work extended hours as required.Strong working knowledge of airworthiness requirements such as MIL-HDBK-516, Federal Aviation Requirements (FAR 23, 33, 35), EASA.Familiarity with Joint Service Specification Guides (JSSG).Ability to perform analysis in the support of design such as fluid flow, thermal, CFD and structural analysis on components and systems.Self-starter able to work independently and responsively to address and close issues quickly.Travel Required: 0 - 25%TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.",System Engineer
150,"TAD PGS, INC. is currently seeking a Electronic Classroom System Administrator for one of our clients in Pensacola, FL. **Candidate must possess a Secret Security Clearance. **Essential Job Functions:Installs, investigates and resolves matters of significance with computer software and hardware equipment.Analyze, log, track and resolve software/hardware matters of significance pertaining to networking connectivity issues, printer, servers and applications to meet business needs.Perform troubleshooting to isolate and diagnose common system problems; document system events to ensure continuous functioning. Recommends course of action and implements as approved.Upgrades system software and hardware components as required to meet business needs; coordinates backups. Ensures upgrades are occurring in accordance with established parameters.Coordinates the installation of client department specific applications and systems. Determines appropriate method for installing applications and systems; resolves matters of significance and implements corrective course of action as needed.Installs, tests, upgrades and configures system files and services to enhance performance.Utilizes standard corporate tools to record change and problem activities for tracking purposes.Monitor, maintain & inventory network infrastructure, network systems components, system admin & desktop systems with associated peripheral equipment.Provide customer services to respective customer base. Respond to Remedy helpdesk tickets & create tickets as necessary. Document all work in Remedy system. Apply patches, updates & upgrades to servers, workstations & stored images. Perform network scans as requested or required. Build required reports.Required Qualifications:Bachelor's degree or equivalent combination of education and experienceBachelor's degree in computer science, or related field preferredTwo or more years of experience with computer systems or networkingExperience working with computer hardware for installation and upgradesExperience working with software installation/upgrading proceduresExperience working with file and system maintenance proceduresDesired Qualifications:Windows 7, Windows Server 200, Active Directory, Group PoliciesIAT Level II GSEC or Security+ce or SSCP or CCNA-SecurityExperience with personal computers and associated hardware installation, problem detection, resolution and maintenance, PC security, Networking, PC Hardware, Windows 7, Windows Server 2008, Active Directory, Group Policies.Must be physically able to lift desktop computers from floor to tables, climb stairs and climb step ladders.Good organization skills to balance and prioritize workAnalytical and problem solving skills to troubleshoot systems problemsCommunication skills for to communicate with support personnel, customers, and managersAbility to work independently and as part of a teamVirtualization, HBSSRemedyTAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.",Electronic Classroom System Administrator
151,"At eXcell, we set you up for job success right from the start. Our precision recruiting process aligns the right fit for the right people.  Our client is the world’s most recognized software corporation seeking a high-level Support Engineer to act as the final point of escalation and resolution for technical support.  Overview: Provides advanced technical support to developers, corporate customers and end users for complex products, including highly escalated issues. Provides support via telephone, written correspondence, and electronic media. May act as technical lead and provide technical training, coaching, and mentoring to other engineers. May provide limited consulting to internal or external customers. May research technical documents and feature lists. Essential Personal Attributes: Highly motivated with a mature and positive attitude A passion for working with peers and customers to help resolve deep customer technical issues A drive and desire to learn and grow yourself and others through proactive knowledge sharing Strong and effective verbal / written communication and listening skills for collaboration and working with customers and peers Strong organization and prioritization skills, with the capacity for driving quality impacts for customers and/or stakeholders An overall passion for technology and for the business and customer value it drives and the desire to help others learn through proactive knowledge sharing activities Outstanding problem-solving, troubleshooting and application debugging capabilities Ability and willingness to quickly ramp up on multiple technology areas as needed Skills: Technical Expertise (required in one or more of each area) in Cloud, Windows Desktop Development, Web Development, Game, or Phone Cloud Technologies: Visual Studio Team Services, Microsoft Azure, Amazon web services, iCloud Languages and Compilers: C/C++, C#, VB.NET, JAVA, HTML5 Developer Tools such as Visual Studio, Unity, Eclipse, .NET Framework, DebugDiagQualifications: Three or more years' experience in software development, consulting or support Deep understanding of application lifecycle and agile development principals BS in Computer Science, or related degree, or 3-4 years of equivalent experience. W2 only, no Corp to Corp. We are unable to sponsor H1B visas at this time. **eXcell™ Supports Equal Employment Opportunity** eXcell™, a division of CompuCom® Systems, Inc., a global company headquartered in Bellevue, Washington, provides IT staffing services and solutions to Fortune 1000 companies as well as small and medium business. For more information, visit www.excell.com.",Tech Support Engineer
152,"Our client is seeking a Java Engineer .   Location: Chantilly, VA Position Type: Full Time   KEY ROLE: - The successful candidate will perform as a member of a dynamic software engineering team developing cutting edge analysis and decision support tools. - Interested parties should e xpect to develop software for ongoing J2EE development projects, to be responsible for developing astrodynamics-based solutions using Agile/Scrum software development methodologies, and to perform evaluations of COTS/GOTS/Open Source software products from business and technical perspectives.   REQUIRED SKILLS: -10+ years of experience with Java development, including J2EE technologies -Experience with Application and Web Server technology (e.g. JBOSS, Apache Tomcat) -Experience developing software using the Agile/Scrum methodology -Experience integrating diverse COTS, GOTS, and Open Source software -Experience evaluating and implementing new and state-of-the-art technology to address challenging customer problems in a research environment -Strong oral and written communication skills -B.S. or M.S. degree in Software Engineering or Computer Science or related technical field -Experience with big data processing, data analytics, advanced visualization, and cloud technology -Provide team leadership and influence application vision -Active TS/SCI security clearance + CI Polygraph   DESIRED SKILLS: -Work with aggressive timelines, in a team environment with a willingness to learn and grow -Experience with the Atlassian Tool Suite & Certified Agile Scrum Master -Experience with modern web client technologies (HTML5, WebGL ) -Experience with AWS, OpenStack, Docker, Git -Experience using JavaScript UI Frameworks such as ExtJS (Sencha) and JQuery -Experience with astrodynamics modeling tools including COTS (STK, ODTK, FreeFlyer ), GOTS (GMAT, USAF Astro Standards), open source ( Orekit ), or custom software (e.g. Matlab , Python). -Experience with SOAP and RESTful web service implementation and distributed computing standards -Experience with Postgres or Accumulo -Experience with continuous integration, build management, and automated test frameworks",Java Engineer
153,"Job Description: Programmer Analyst Lead needed who can optimize SQL and resolve SQL deadlock issues, as well as code .Net web services. Some Java experience preferred.Required Skills: SQL. .NET; Web services. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)","Developer - SQL, web services, .NET"
154,"TAD PGS INC. is currently seeking an Embedded Software Engineer for one of clients in Herndon, VA **Candidate must possess an Active Top Secret/SCI Security Clearance with Current SSBI.**Job Description:Software Engineer responsible for the design and development of software solutions for classified systems. Work will involve solutions for embedded technologies. Required Qualifications:Bachelor’s degree (preferably in Computer Engineering or a related field) and a minimum of 6 years of applicable experience.Minimum 3 years with C++ programming language.Minimum 1 year with VxWorks, Linux, or related embedded operating systems.Desired Qualifications:Experience with software development for embedded systems.Understanding of SW development processes and life cycle.Team player able to work in a large program environment and have good communications skills.RTOS Experience is preferred.TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. With more than 50 years of experience, TAD PGS, INC. has earned a reputation for accountability, a value that government agencies and prime contractors both demand and deserve.TAD PGS, INC. sources professionals for the full spectrum of federal positions, from administrative to management, and those contracts requiring extremely niche-oriented technical skills and the highest levels of security clearance.",Embedded Software Engineer
155,"Our client is seeking a Front Office Developer.   Location: New York, NY Position Type: Full Time   Job description: - Front Office Developer on the Technology – Risk & Trading Systems - Growt h for new business initiatives for XVA, CME - As a member of the front-office technology team, you will work in a fast-paced environment as part of a team developing cutting edge solutions to meet the needs for the Capital Markets business.   Your responsibilities will include: - Design and implementation of technology solutions to support Sales & Trading, Market Risk, Credit, Modelling Quants, Legal & Compliance. - Help developing the next generation trading platform based on a services-based architecture using latest technologies and industry best-practices. - Following the Agile SDLC, and potentially work on multiple projects at a time which will require excellent time-management and organization skills. - Expectation of contribution to the team at a high level and taking on responsibilities commensurate with your experience.   Desired Skills and Experience : - Must have strong demonstrated IT experience in software design & implementation of front office applications in a hand on development role. - Strong software development skills with Microsoft .NET technologies using C#, WPF/XAML, WCF, FIX protocol. Experience with PRISM/Unity framework and Excel/VBA a plus. - Experience with web client side development skills and HTML5/CSS/ Javascript frameworks like jQuery, Angular or Node.js. - Excellent understanding of - Object Oriented Analysis and Design, Design Patterns, SOA application design, RESTful web-services, Messaging systems, Distributed Caches, Data Modelling. - Proficient in SQL and Database Management, Oracle experience preferred - Working knowledge of FICC products. Derivatives experience preferred. - Experience working in fast paced Agile SDLC team with daily SCRUM and JIRA system. - Results oriented team-player with excellent communication and interpersonal skills.  - Minimum Bachelor’s degree in Comp Science, Mathematics, Engineering or related field.",Front Office Developer
156,"Job Description: We are looking for a User Interface/User Experience contractor who assist with the replacement of an existing webpage currently written in ASP.NET web forms.Required Skills: HTML, CSS, JQuery, ASP.NET. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)","Developer - WEB - HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET"
157,"Our client, the leading international insurance organization, is seeking a SharePoint Administrator.   Location: New York, NY Position Type: Contract   - This Sharepoint group is building a brand new Sharepoint farm.  - Need extremely strong installation and configuration skills as this is less of an architect role, but an extremely hands on down and dirty role from day one on the job.  - Must have a deep knowledge of installation and configuration of the SP 201 3 server, connectivity issues, VPI server, user profile set up, search services, storage issues, Sql Server and installation of K2 on top of SP.  - Must know 2013 inside out.  - Will be right hand person for the lead admin/architect.  - Must be able to travel to their Wilton CT office one day a week as well.   ",SharePoint Administrator
158,"General Comments Why is this position available? Is it because of company growth? Someone left or was fired? Restructuring?   How long has it been open?   What business challenge is this addressing?   Non-Tech Skills (communication, problem solving):   What is the interview process?   Are other managers interviewing?   Who else is working on it?   Is there anyone in the past that has worked for you that you would consider rehiring? Likes/dislikes for previous candidates?   Enter ""with whom, when, and how"" interviews will take place (connected to the requisition (include any planned vacations for those involved in the process)  ",Position Type: IT-Contract
159,"Our client, one of the largest financial services firms, is seeking an Android Developers. Location: Irving, TX Position Type: Contract Job Details: -We are searching for a certain kind of person who is excited by the idea of owning; people who like to build new platforms, features and services.  -This position requires collaboration with UX designers, product managers, technical program managers, and partner teams.  -You should be comfortable with ambiguity with a desire to create, iterate and improve. -In this role you will develop and launch new mobile products and extend platform functionality as part of our next generation strategy.  -You will work closely with product management, technical program managers, designers and other engineers to define design approaches, prototype new technologies and evaluate technical feasibility to deliver value to our customers.  -We care about building high-quality software flexible and robust enough to maintain balances and handle transactions across a variety of account types for millions of customers with the integrity expected of state of the art financial systems.  -Innovation with these scaling and security constraints provides a unique set of opportunities.  -We dive deep to insist on the highest standards in architecting, coding, testing, deploying and maintaining every aspect of our offerings.  -If youre thrilled by the idea of ownership, passionate about creating new features and services from scratch, and think you can manage the ambiguity and pace, we would love to connect with you.   Position responsibilities:  -Work collaboratively with product management, UX designer, governance and your scrum team to design and deliver new and innovative customer solutions. -Bring to bear your experience leveraging best in class tools and technologies (CI/CD, cloud computing, web service development) to refine and improve software development practices for your team. -Engage in innovative problem solving activities, requiring conceptual thinking creating 'out of the box' solutions with prototypes and pilots. -Utilize TDD practices to ensure delivery of high quality code with low rates of production defects. -Instrument services and solutions to ensure deployed software is scalable and reliable. Basic qualifications: -Bachelors Degree in Computer Science or related field and 2+ years commercial coding experience -Strong CS fundamentals in object-oriented design, data structures, algorithms, problem solving, and complexity analysis -Experience with distributed systems, caching and persistence solutions -Ability to troubleshoot and identify the root cause of issues under time pressure -Ability to effectively articulate technical challenges and solutions -Excellent interpersonal communication with strong verbal / written English skills -Demonstrated skill and passion for operational excellence -Customer-focused mindset, taking pride in creating an informative data-driven journey Preferred Qualifications:  -Commercial development experience in financial or related industries -Experience building localized, multi-tenant solutions -18+ months experience building software with PCF and Gemfire -18+ months experience building software for iOS, Android.",Android Developers
160,"Our cli ent, major bank which monitors the monetary policy, financial supervision and the payments system, is seeking a Java Developer.   Location: New York, NY Position Type: Contract   Qualifications: - This position is limited to ""Protected Individuals"" as defined in the U.S. federal immigration law. - Protected Individuals includ e, but are not limited to, U.S. citizens, U.S. nationals, U.S. permanent residents who are not yet eligible to apply for naturalization, and U.S. permanent residents who have applied for naturalization within six months of being eligible to do so. - The submitted candidate must be able to obtain National Security Clearance if required.   Top 5-10 technical skills required for the job: - Advanced-level experience with Java, Spring, JUnit, Maven, Ant, Apache Tomcat and HTTP - Comfortable using Test Driven Development to build fle xible, high quality software - Strong analytical and problem-solving skills, able to work independently to resolve des ign and technical challenges - Ability to understand business requirements and appropriately translate them to technical an d functional requirement - Experience building networked software in a highly secure environment. Bachelor’s degree in Computer Sciences or related discipline o r equivalent work experience - Advanced-level experience with Java, Spring, JUnit, Maven, Ant, Apache Tomcat and HTTP - Comfortable using Test Driven Development to build fle xible, high quality softw are - Strong analytica l and problem-solving skills - Ability to understand business requirements and appropriately translate them to technica l and functional requirement - Experience building networked software in a highly secure environment - Ability to work independently or as part of a team and to balance multiple project s and conflicting priorities - Strong interpersonal skills, including the ability to interact with all levels of management, local and national support staff, customers, and external vendors - Proven project planning skills in effectively meeting deadlines on individual assignments, knowledge and ex perience with Scrum desirable - Working knowledge of Windows 7, OS X , and Linux operating systems -Experience using Eclipse - Working knowledge of HTML, CSS and JavaScript, as well as related APIs and frameworks, for exam ple Bootstrap, jQuery and D3 - Experience with Solr , Lucene, Hadoop H DFS, Spark, Flume, and Ka fka - Hands-on implementation experience wi th one or more of the following authentication/ authorization technologies: SAML, OAuth   Responsibilities: - Design and plan search implementation based on business requirements for enterprise search functionality against a large volume of unstructured, semi-structured and structured informati on - Design and develop components to extract and index content from enterprise repositories - Provide ongoing support of search system including search indices, crawl ers, connectors, feeds, etc. - Create written documentation including project plans, policy and procedure, presentations, and other documents as necessary - Participate in local security and national Security Assurance for the Risk Assessment Project for pertinent technologies and deve lop supporting documentation - Provide technical consulting for lines of business and other support staffs on web infr astructure and related services",Java Developer
161,"Trigyn's direct financial client has an immediate opening for Systems Administrator in Montreal, Canada.Description:The client is looking for a systems administrator with experience in managing backup and recovery systems, building automation, tooling and processes for plant management. The consultant will be liaising working with global engineering teams and disaster recovery coordinators. The work would involve working across a broad range of technologies, a willingness to dive into unfamiliar technologies rather than any specific niche. Technologies will span hardware, software, proprietary as well as open-source. Furthermore, the role requires independence, primarily working with groups in remote offices.Skills Required: Experience with KVM, ESX or other virtualization management infrastructure. 3 to 5 years experience of system administration practices, primarily Red Hat Linux. Writing maintainable scripts with Perl and/or Python. Ability to plan, organize, prioritize, and complete assigned tasks with minimal supervision despite rapidly changing priorities. Project management skills for coordinating teams coming to the labs. Experience with NetBackup.Skills Desired: Experience with network security practices. Ability to manage projects. Education Level: Bachelor's DegreeNO THIRD PARTY CANDIDATES PERMITTED.PLEASE RESPOND ONLY IF YOU ARE CURRENTLY ELIGIBLE TO WORK IN CANADA.TRIGYN TECHNOLOGIES, INC. is an EQUAL OPPORTUNITY EMPLOYER and has been in business for 30 years. TRIGYN is an ISO 9001:2008, ISO 27001:2013 (ISMS) and CMMI Level 3 certified company. TRIGYN is an E-Verify* Employer.",Systems Administrator (VMware / Red Hat Linux)
